,year_visit,ABTC,PROVINCE,risk,n
1,2020,OMPH,Oriental Mindoro,low,2133
2,2020,OMPH,Oriental Mindoro,unknown,66
3,2020,OMPH,Oriental Mindoro,high,27
,2020,OMPH,Oriental Mindoro,high_max,93
,2020,OMPH,Oriental Mindoro,all,2226
4,2021,OMPH,Oriental Mindoro,low,1745
5,2021,OMPH,Oriental Mindoro,unknown,78
6,2021,OMPH,Oriental Mindoro,high,13
,2021,OMPH,Oriental Mindoro,high_max,91
,2021,OMPH,Oriental Mindoro,all,1836
7,2022,OMPH,Oriental Mindoro,low,1850
8,2022,OMPH,Oriental Mindoro,unknown,22
9,2022,OMPH,Oriental Mindoro,high,17
,2022,OMPH,Oriental Mindoro,high_max,39
,2022,OMPH,Oriental Mindoro,all,1889
