"Municipality","Human population (2020 census)","Estimated dog population","Estimated rabid dogs","Confirmed animal cases","Estimated % confirmed cases","Estimated exposures","Recorded deaths","Estimated deaths","Estimated exposure incidence per 100,000"
"Baco",39817,"6140  [4050 - 12520]","51  [14 - 98]",7,"13.73 %  [7.14 - 50]","19  [8 - 30]",0,"0  [0 - 0]","16  [6 - 25]"
"Bansud",42671,"6590  [4390 - 13340]","59  [27 - 103]",0,"0 %  [0 - 0]","22  [15 - 33]",1,"1  [1 - 2]","17  [12 - 26]"
"Bongabong",76973,"12010  [7810 - 24010]","197  [139 - 272]",2,"1.02 %  [0.74 - 1.44]","75  [65 - 91]",6,"6  [6 - 9]","33  [28 - 39]"
"Bulalacao",44366,"6960  [4510 - 14100]","64  [35 - 106]",0,"0 %  [0 - 0]","24  [20 - 32]",1,"1  [1 - 2]","18  [15 - 24]"
"Calapan City",145786,"22710  [14920 - 45680]","200  [61 - 366]",2,"1 %  [0.55 - 3.28]","77  [26 - 131]",0,"0  [0 - 0]","18  [6 - 30]"
"Gloria",50496,"7650  [5130 - 15720]","91  [50 - 141]",1,"1.1 %  [0.71 - 2]","35  [26 - 47]",2,"2  [2 - 4]","23  [17 - 31]"
"Mansalay",59114,"9070  [6000 - 18700]","267  [167 - 382]",4,"1.5 %  [1.05 - 2.4]","104  [70 - 135]",5,"5  [5 - 8]","59  [40 - 76]"
"Naujan",109587,"17050  [11180 - 34140]","129  [44 - 229]",2,"1.55 %  [0.87 - 4.55]","50  [19 - 78]",0,"0  [0 - 0]","15  [6 - 24]"
"Pinamalayan",90383,"13850  [9220 - 28590]","200  [134 - 288]",1,"0.5 %  [0.35 - 0.75]","78  [58 - 100]",5,"5  [5 - 8]","29  [21 - 37]"
"Pola",35455,"5620  [3620 - 11230]","105  [62 - 165]",1,"0.95 %  [0.61 - 1.61]","40  [30 - 56]",4,"4  [4 - 6]","38  [28 - 52]"
"Puerto Galera",41961,"6560  [4320 - 12950]","98  [27 - 187]",4,"4.08 %  [2.14 - 14.81]","38  [13 - 63]",0,"0  [0 - 0]","30  [10 - 50]"
"Roxas",58849,"9250  [5980 - 18530]","158  [97 - 228]",3,"1.9 %  [1.32 - 3.09]","60  [46 - 74]",1,"1  [1 - 2]","34  [26 - 42]"
"San Teodoro",19121,"3000  [1950 - 6120]","24  [3 - 62]",0,"0 %  [0 - 0]","9  [2 - 18]",0,"0  [0 - 0]","16  [3 - 31]"
"Socorro",41585,"6430  [4200 - 13230]","12  [2 - 37]",0,"0 %  [0 - 0]","4  [1 - 8]",0,"0  [0 - 0]","4  [1 - 6]"
"Victoria",52175,"8100  [5280 - 16290]","20  [6 - 47]",1,"5 %  [2.13 - 16.75]","8  [4 - 11]",0,"0  [0 - 0]","5  [3 - 7]"
