"","PROVINCE","MUNICIPALITY","BARANGAY","DATE_OF_INVESTIGATION","GII_NUMBER_OF_PEOPLE_BITTEN","GII_ANIMAL_OWNED","ANIMAL_OUTCOME","SAMPLE_WAS_COLLECTED_LATERAL_FLOW_TEST_DONE","SAMPLE_WAS_COLLECTED_LATERAL_FLOW_TEST_OUTCOME","date"
"1","Oriental Mindoro","Puerto Galera","Puerto Galera_Tabinay","2021-03-09 00:00:00.000000",0,"owned","dead",NA,NA,2021-03-09
"2","Oriental Mindoro","Mansalay","Mansalay_Santa Teresita","2021-05-10 00:00:00.000000",1,"owned","alive",NA,NA,2021-05-10
"3","Oriental Mindoro","Bulalacao","Bulalacao_Poblacion","2021-03-15 00:00:00.000000",1,"not_owned","disappeared_not_found",NA,NA,2021-03-15
"4","Oriental Mindoro","Bongabong","Bongabong_Bagumbayan I","2021-05-24 00:00:00.000000",1,"unknown","disappeared_not_found",NA,NA,2021-05-24
"5","Oriental Mindoro","Baco","Baco_Mayabig","2022-01-14 00:00:00.000000",NA,"owned","dead","yes","positive",2022-01-14
"6","Oriental Mindoro","Baco","Baco_Catwiran I","2021-02-16 00:00:00.000000",1,"not_owned","dead","yes","negative",2021-02-16
"7","Oriental Mindoro","Naujan","Naujan_Poblacion III","2022-03-29 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-29
"8","Oriental Mindoro","San Teodoro","San Teodoro_Ilag","2021-06-21 00:00:00.000000",1,"not_owned","alive",NA,NA,2021-06-21
"9","Oriental Mindoro","Mansalay","Mansalay_Balugo","2021-02-02 00:00:00.000000",1,"owned","alive",NA,NA,2021-02-02
"10","Oriental Mindoro","Naujan","Naujan_Motoderazo","2022-04-01 00:00:00.000000",1,"owned","alive",NA,NA,2022-04-01
"11","Oriental Mindoro","Bulalacao","Bulalacao_Nasukob","2022-04-26 00:00:00.000000",1,"owned","dead",NA,NA,2022-04-26
"12","Oriental Mindoro","Baco","Baco_Poblacion","2022-04-13 00:00:00.000000",1,"not_owned","disappeared_not_found",NA,NA,2022-04-13
"13","Oriental Mindoro","Calapan","Calapan City_Gulod","2021-08-15 00:00:00.000000",2,"owned","alive",NA,NA,2021-08-15
"14","Oriental Mindoro","Naujan","Naujan_Buhangin","2022-03-29 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-29
"15","Oriental Mindoro","Baco","Baco_Mayabig","2021-01-11 00:00:00.000000",1,"not_owned","alive",NA,NA,2021-01-11
"16","Oriental Mindoro","Calapan","Calapan City_Biga","2021-06-23 00:00:00.000000",1,"owned","alive",NA,NA,2021-06-23
"17","Oriental Mindoro","Baco","Baco_Poblacion","2021-04-12 00:00:00.000000",1,"unknown","disappeared_not_found",NA,NA,2021-04-12
"18","Oriental Mindoro","Mansalay","Mansalay_Balugo","2021-01-29 00:00:00.000000",1,"owned","dead",NA,NA,2021-01-29
"19","Oriental Mindoro","Calapan","Calapan City_Biga","2021-11-19 00:00:00.000000",1,"owned","alive",NA,NA,2021-11-19
"20","Oriental Mindoro","Naujan","Naujan_Pinagsabangan I","2022-03-30 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-30
"21","Oriental Mindoro","Mansalay","Mansalay_Santa Teresita","2022-04-22 00:00:00.000000",3,"owned","dead","yes","positive",2022-04-22
"22","Oriental Mindoro","Baco","Baco_Tagumpay","2021-03-03 00:00:00.000000",1,"not_owned","alive",NA,NA,2021-03-03
"23","Oriental Mindoro","Baco","Baco_Mangangan I","2022-02-16 00:00:00.000000",1,"owned","dead","yes","positive",2022-02-16
"24","Oriental Mindoro","Baco","Baco_Poblacion","2021-02-05 00:00:00.000000",1,"not_owned","alive",NA,NA,2021-02-05
"25","Oriental Mindoro","Baco","Baco_Bangkatan","2021-03-12 00:00:00.000000",1,"owned","alive",NA,NA,2021-03-12
"26","Oriental Mindoro","Calapan","Calapan City_Biga","2021-08-25 00:00:00.000000",1,"owned","alive",NA,NA,2021-08-25
"27","Oriental Mindoro","Puerto Galera","Puerto Galera_Dulangan","2021-03-09 00:00:00.000000",NA,"owned","dead",NA,NA,2021-03-09
"28","Oriental Mindoro","Pinamalayan","Pinamalayan_Panggulayan","2022-06-01 00:00:00.000000",NA,"owned","dead","yes","positive",2022-06-01
"29","Oriental Mindoro","San Teodoro","San Teodoro_Tacligan","2021-11-25 00:00:00.000000",1,"unknown","dead","yes","negative",2021-11-25
"30","Oriental Mindoro","Naujan","Naujan_Apitong","2022-03-29 00:00:00.000000",1,"not_owned","alive",NA,NA,2022-03-29
"31","Oriental Mindoro","Calapan","Calapan City_Camilmil","2022-05-18 00:00:00.000000",1,"unknown","alive",NA,NA,2022-05-18
"32","Oriental Mindoro","Bongabong","Bongabong_Anilao","2022-02-08 00:00:00.000000",3,"owned","dead",NA,NA,2022-02-08
"33","Oriental Mindoro","Naujan","Naujan_Poblacion III","2022-03-29 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-29
"34","Oriental Mindoro","Baco","Baco_Tagumpay","2022-03-07 00:00:00.000000",1,"owned","dead","yes","positive",2022-03-07
"35","Oriental Mindoro","Calapan","Calapan City_Biga","2021-07-07 00:00:00.000000",1,"unknown","disappeared_not_found",NA,NA,2021-07-07
"36","Oriental Mindoro","Calapan","Calapan City_Lumang Bayan","2021-10-04 00:00:00.000000",1,"unknown","alive",NA,NA,2021-10-04
"37","Oriental Mindoro","Naujan","Naujan_San Pedro","2022-03-28 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-28
"38","Oriental Mindoro","Naujan","Naujan_Malinao","2020-02-10 00:00:00.000000",NA,"owned","dead","yes","positive",2020-02-10
"39","Oriental Mindoro","Calapan","Calapan City_Parang","2021-06-08 00:00:00.000000",1,"owned","alive",NA,NA,2021-06-08
"40","Oriental Mindoro","Puerto Galera","Puerto Galera_Tabinay","2021-03-09 00:00:00.000000",0,"owned","dead",NA,NA,2021-03-09
"41","Oriental Mindoro","Naujan","Naujan_Sampaguita","2020-02-28 00:00:00.000000",NA,"not_owned","dead","yes","negative",2020-02-28
"42","Oriental Mindoro","Baco","Baco_Alag","2020-12-14 00:00:00.000000",1,"owned","alive",NA,NA,2020-12-14
"43","Oriental Mindoro","Calapan","Calapan City_Sapul","2021-06-08 00:00:00.000000",1,"not_owned","disappeared_not_found",NA,NA,2021-06-08
"44","Oriental Mindoro","Mansalay","Mansalay_B. Del Mundo","2020-04-03 00:00:00.000000",NA,"not_owned","dead","yes","positive",2020-04-03
"45","Oriental Mindoro","Puerto Galera","Puerto Galera_Tabinay","2021-03-04 00:00:00.000000",0,"owned","dead","yes","positive",2021-03-04
"46","Oriental Mindoro","Victoria","Victoria_San Narciso","2022-03-18 00:00:00.000000",1,"owned","dead","yes","negative",2022-03-18
"47","Oriental Mindoro","San Teodoro","San Teodoro_Poblacion","2021-04-26 00:00:00.000000",1,"not_owned","disappeared_not_found",NA,NA,2021-04-26
"48","Oriental Mindoro","Naujan","Naujan_Dao","2022-03-28 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-28
"49","Oriental Mindoro","Baco","Baco_Bangkatan","2022-06-06 00:00:00.000000",1,"owned","alive",NA,NA,2022-06-06
"50","Oriental Mindoro","Baco","Baco_Dulangan II","2022-01-31 00:00:00.000000",1,"owned","alive",NA,NA,2022-01-31
"51","Oriental Mindoro","Calapan","Calapan City_Santa Isabel","2021-11-29 00:00:00.000000",1,"unknown","dead",NA,NA,2021-11-29
"52","Oriental Mindoro","Baco","Baco_Alag","2021-03-16 00:00:00.000000",1,"owned","alive",NA,NA,2021-03-16
"53","Oriental Mindoro","Puerto Galera","Puerto Galera_San Isidro","2022-01-07 00:00:00.000000",NA,"not_owned","dead","yes","positive",2022-01-07
"54","Oriental Mindoro","Puerto Galera","Puerto Galera_Tabinay","2021-03-10 00:00:00.000000",2,"owned","dead","yes","positive",2021-03-10
"55","Oriental Mindoro","Calapan","Calapan City_Balite","2022-01-22 00:00:00.000000",NA,"owned","dead","yes","negative",2022-01-22
"56","Oriental Mindoro","Calapan","Calapan City_Lumang Bayan","2021-10-04 00:00:00.000000",1,"not_owned","alive",NA,NA,2021-10-04
"57","Oriental Mindoro","Calapan","Calapan City_Tawiran","2021-08-09 00:00:00.000000",1,"unknown","alive",NA,NA,2021-08-09
"58","Oriental Mindoro","Mansalay","Mansalay_Cabalwa","2021-05-10 00:00:00.000000",1,"owned","dead",NA,NA,2021-05-10
"59","Oriental Mindoro","Bongabong","Bongabong_Anilao","2022-02-11 00:00:00.000000",3,"unknown","dead","yes","positive",2022-02-11
"60","Oriental Mindoro","Baco","Baco_Catwiran I","2021-02-16 00:00:00.000000",NA,"not_owned","dead","no",NA,2021-02-16
"61","Oriental Mindoro","Calapan","Calapan City_Lalud","2021-11-04 00:00:00.000000",1,"unknown","alive",NA,NA,2021-11-04
"62","Oriental Mindoro","San Teodoro","San Teodoro_Ilag","2021-07-07 00:00:00.000000",1,"unknown","disappeared_not_found",NA,NA,2021-07-07
"63","Oriental Mindoro","Naujan","Naujan_Motoderazo","2022-04-01 00:00:00.000000",1,"owned","alive",NA,NA,2022-04-01
"64","Oriental Mindoro","Calapan","Calapan City_Camansihan","2021-10-04 00:00:00.000000",1,"owned","disappeared_not_found",NA,NA,2021-10-04
"65","Oriental Mindoro","Mansalay","Mansalay_Poblacion","2021-04-05 00:00:00.000000",1,"unknown","disappeared_not_found",NA,NA,2021-04-05
"66","Oriental Mindoro","Naujan","Naujan_Santa Isabel","2022-03-30 00:00:00.000000",1,"not_owned","alive",NA,NA,2022-03-30
"67","Oriental Mindoro","Calapan","Calapan City_Camansihan","2021-10-04 00:00:00.000000",1,"owned","disappeared_not_found",NA,NA,2021-10-04
"68","Oriental Mindoro","Baco","Baco_Tabon-Tabon","2021-03-22 00:00:00.000000",1,"owned","alive",NA,NA,2021-03-22
"69","Oriental Mindoro","Baco","Baco_Bangkatan","2021-04-07 00:00:00.000000",1,"owned","alive",NA,NA,2021-04-07
"70","Oriental Mindoro","Gloria","Gloria_Guimbonan","2021-06-09 00:00:00.000000",1,"owned","dead",NA,NA,2021-06-09
"71","Oriental Mindoro","Naujan","Naujan_Buhangin","2022-03-30 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-30
"72","Oriental Mindoro","Naujan","Naujan_Del Pilar","2020-09-26 00:00:00.000000",NA,"not_owned","dead","yes","positive",2020-09-26
"73","Oriental Mindoro","Naujan","Naujan_Malinao","2022-03-30 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-30
"74","Oriental Mindoro","Naujan","Naujan_Evangelista","2022-04-01 00:00:00.000000",1,"owned","alive",NA,NA,2022-04-01
"75","Oriental Mindoro","Bongabong","Bongabong_Polusahi","2022-04-28 00:00:00.000000",3,"owned","dead","yes","negative",2022-04-28
"76","Oriental Mindoro","Naujan","Naujan_Bancuro","2022-03-29 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-29
"77","Oriental Mindoro","Baco","Baco_Catwiran I","2021-02-16 00:00:00.000000",1,"not_owned","dead","yes","negative",2021-02-16
"78","Oriental Mindoro","Naujan","Naujan_Evangelista","2021-04-27 00:00:00.000000",1,"owned","alive",NA,NA,2021-04-27
"79","Oriental Mindoro","Naujan","Naujan_Bayani","2022-03-28 00:00:00.000000",1,"not_owned","alive",NA,NA,2022-03-28
"80","Oriental Mindoro","Baco","Baco_Poblacion","2021-03-16 00:00:00.000000",1,"owned","alive",NA,NA,2021-03-16
"81","Oriental Mindoro","Naujan","Naujan_Adrialuna","2022-03-31 00:00:00.000000",1,"owned","alive",NA,NA,2022-03-31
"82","Oriental Mindoro","Calapan","Calapan City_Tibag","2021-09-14 00:00:00.000000",1,"not_owned","alive",NA,NA,2021-09-14
"83","Oriental Mindoro","Roxas","Roxas_Dangay","2022-02-17 00:00:00.000000",1,"owned","dead","yes","positive",2022-02-17
"84","Oriental Mindoro","Victoria","Victoria_Mabini","2022-02-21 00:00:00.000000",NA,"owned","dead","yes","negative",2022-02-21
"85","Oriental Mindoro","Bongabong","Bongabong_Anilao","2022-02-09 00:00:00.000000",1,"owned","dead","yes","positive",2022-02-09
"86","Oriental Mindoro","Baco","Baco_Dulangan I","2020-03-05 00:00:00.000000",1,"owned","alive",NA,NA,2020-03-05
